name,gender,slug,url,origin,meaning,about,short_forms,international_forms,first_letter,letters_count,popularity_place,popularity_bucket,tags
Гавриил,m,gavriil,https://n-e-n.ru/imena/imya/gavriil/,древнееврейское,«сила Божья» — имя архангела-вестника,"Имя древнеарамейского происхождения, состоящее из двух частей — «сильный муж» и «Бог»; его толкуют как «Бог — моя сила». В Библии так зовут одного из архангелов, особо почитаемого в христианстве наряду с Михаилом.",Гаврюша; Ганя,Gabriel,Г,7,212,medium,
Агния,f,agniya,https://n-e-n.ru/imena/imya/agniya/,древнегреческое,"«чистая, непорочная» — от хагнос","Имя Агния имеет греческое происхождение: оно образовано от слова «хагнос» — «чистая», «непорочная». В России имя знакомо многим по поэтессе Агнии Барто.",Агнюша; Ага,Agnes; Agnese,А,5,213,medium,короткое
Имран,m,imran,https://n-e-n.ru/imena/imya/imran/,арабское,жизнь,"Мужское имя Имран имеет арабское происхождение. Его значение — «правильный», «такой, как должен быть»; ещё один вариант перевода — «жизнь».",Имранчик; Имрик,,И,5,213,medium,короткое
Курбан,m,kurban,https://n-e-n.ru/imena/imya/kurban/,арабское,жертвоприношение,Имя Курбан происходит от арабского слова курбан (قربان) – «жертвоприношение».,Кур; Курб; Курбанчик; Курбашечка,,К,6,214,medium,
Неля,f,nelya-2,https://n-e-n.ru/imena/imya/nelya-2/,скандинавское,самостоятельная форма Нелли и Элеоноры,"Неля чаще всего считается вариантом имени Нелли — сокращённой формы имён Елена и Элеонора, ставшей самостоятельным именем.",Нел; Нела; Нелу; Нелечка; Нелюша; Нелюшка; Нелюся; Нелюсик,,Н,4,214,medium,короткое
Илона,f,ilona,https://n-e-n.ru/imena/imya/ilona/,греческое,солнечный свет,Точная этимология имени неизвестна: ономастика (наука об именах собственных) не даёт однозначного ответа. Чаще всего значение имени объясняют как «солнечный свет».,Ила; Илка; Иля; Илонка; Лона; Лонка; Илонушка; Илоночка,,И,5,215,medium,короткое
Расим,m,rasim,https://n-e-n.ru/imena/imya/rasim/,арабское,обычай,С арабского оно переводится как «обычай».,Рас; Мич; Расимчик; Расимочка,,Р,5,215,medium,короткое
Марс,m,mars,https://n-e-n.ru/imena/imya/mars/,латинское,боевой,Имя Марс своими корнями увлекает нас в Древнюю Италию. В переводе с латинского Марс означает «боевой».,Марик; Марсик; Марсюша; Марсюнчик; Марсюля,,М,4,216,medium,короткое
Эльвина,f,elvina,https://n-e-n.ru/imena/imya/elvina/,испанское,"эль, белая, светлая","До сих пор не известно точное происхождение имени Эльвина. По одной из версий, наиболее популярной на Западе, это имя появилось в Эстонии, переводится оно как белая, светлая или бледная. Другие считают, что имя берёт свои корни из Испании, в переводе с испанского оно означает — принцесса.",Эля; Элька; Вина; Винка; Вишка; Винни; Эльвинка; Эльвиночка,,Э,7,216,medium,
Валериан,m,valerian,https://n-e-n.ru/imena/imya/valerian/,древнеримское,«из рода Валериев»; связано с латинским «быть здоровым»,"Валериан — мужское имя латинского происхождения, образованное от римского родового имени Валерий, которое связано со словом «valere» — «быть здоровым», «быть сильным».",Вал; Валя; Лера; Риан; Лер; Валерочка; Валерушка; Валерушенька,,В,8,217,medium,
Октябрина,f,oktyabrina,https://n-e-n.ru/imena/imya/oktyabrina/,латинское,имя-неологизм советской эпохи — в честь Октябрьской революции,"Октябрина — имя-неологизм, появившееся в СССР в 1920-е годы в честь Октябрьской революции. В его основе — название месяца октября, которое восходит к латинскому «octavus» — «восьмой» (октябрь был восьмым месяцем древнеримского календаря).",Октя; Октябр; Октяр; Обрин; Октяб; Октябрешенька; Октябриночка; Октябрюшенька,,О,9,217,medium,
Амира,f,amira,https://n-e-n.ru/imena/imya/amira/,арабское,"«принцесса, повелительница» — парное к мужскому Амир","У имени две версии происхождения. По первой, оно имеет арабские корни и представляет собой женскую форму мужского имени Амир. По второй, у имени еврейские корни — оно встречается и в еврейской традиции.",Амирочка; Мира,Amira,А,5,218,medium,короткое
Риф,m,rif,https://n-e-n.ru/imena/imya/rif/,арабское,речка,"Имя Риф имеет корни в арабском языке и означает ""речка"" или ""ручей"".",Ри; Риф; Рифа; Рифочек; Рифуля; Рифушечка; Рифишка; Рифиночка,,Р,3,218,medium,короткое
Данияр,m,daniyar,https://n-e-n.ru/imena/imya/daniyar/,арабское,умный,"В России имя Данияр встречается редко. У него несколько версий происхождения: с арабского его переводят как «умный», «обладающий знаниями», с тюркского — «дар солнца», с персидского — «бог мой судья».",Дан; Даня; Дани; Данир; Дана; Даниярка; Данчик; Даниярчик,,Д,6,219,medium,
Заира,f,zaira,https://n-e-n.ru/imena/imya/zaira/,арабское,"гостья, яркая","Имя Заира имеет восточные корни. По одной версии, оно происходит от персидского слова и переводится как «гостья», «паломница», «посещающая святые места». По другой — в дагестанских языках имя означает «яркая», «прекрасная».",Заи; Ра; Заирочка; Заиронька; Заирчик,,З,5,219,medium,короткое
Лада,f,lada,https://n-e-n.ru/imena/imya/lada/,славянское,"«милая, ладная»; в славянской мифологии связывается с богиней лада и любви","Слово «лада» родственно словам «лад» и «ладный», которые означают «хороший», «добрый».",Ладушка; Ладочка,Lada,Л,4,220,medium,короткое
Джамиля,f,dzhamilya,https://n-e-n.ru/imena/imya/dzhamilya/,арабское,"красивая, прекрасная, миловидная","Имя арабского происхождения, которое переводят как «красивая», «прекрасная», реже — «добрая». По преданию, пророк Мухаммад дал это имя женщине, прежде носившей имя А’асийя — «непокорная».",Джа; Джама; Джамми; Джамка; Джамилюшка; Джамилечка; Джамиленька; Джамильчик,,Д,7,221,medium,
Малик,m,malik,https://n-e-n.ru/imena/imya/malik/,арабское,"владыка, господин","Имя Малик происходит из арабского языка и означает «король», «владыка». В древней Аравии, где существовало множество независимых племён и государств, так называли правителя или владельца земли.",Мал; Мали; Маля; Лик; Ма; Малечка; Маличек; Маличок,,М,5,221,medium,короткое
Идрис,m,idris,https://n-e-n.ru/imena/imya/idris/,арабское,"обучающийся, познающий","Имя Идрис (إدريس‎) имеет арабское происхождение и переводится как «обучающийся», «познающий», «просвещающий».",Рис; Идди; Идрисонька; Идрисик,,И,5,222,medium,короткое
Ким,m,kim,https://n-e-n.ru/imena/imya/kim/,библейское,"золотой, бог поставил","У имени Ким несколько версий происхождения. По одной из них, это корейское имя, образованное от одной из старейших и самых распространённых фамилий — Ким, которая переводится на русский как «золотой».",Акимка; Акимушка; Кима; Якимка,,К,3,223,medium,короткое
Рашида,f,rashida,https://n-e-n.ru/imena/imya/rashida/,арабское,предводительница,"Женское имя Рашида – это имя арабского происхождения. Значение имени Рашида – «мудрая», «зрелая», «идущая по правильной дороге» или «идущая верным путем». Иногда это имя переводится на русский язык как «предводительница».",Раша; Рашия,,Р,6,223,medium,
Диляра,f,dilyara,https://n-e-n.ru/imena/imya/dilyara/,персидское,"«радующая сердце, возлюбленная»","Имя Диляра имеет древнеперсидское происхождение. Корень «дил» означает «душа, сердце» — он же есть в созвучных именах Дилара, Дильраба, Дилия. Имя переводят как «красавица», «возлюбленная», «радующая сердце».",Диля; Ляра,Dilyara,Д,6,224,medium,
Тигран,m,tigran,https://n-e-n.ru/imena/imya/tigran/,древнегреческое,по одной из версий — «обладающий силой тигра»; имя армянских царей,"Тигран — имя с древними корнями, которое носили армянские цари. По одной из версий, оно пришло из Древней Персии и означает «тигр» или «обладающий силой тигра».",Тигр; Тигранчик; Тигранушка; Тиграник,,Т,6,224,medium,
Ильназ,m,ilnaz,https://n-e-n.ru/imena/imya/ilnaz/,арабское,"народ, грациозный","Имя состоит из двух частей. Первый корень «иль» переводится с древнеперсидского как «народ», «родина», второй корень «наз» — «нежность». Иногда это имя переводят как «грациозный».",Иля; Назик; Ильназик; Ильназочка,,И,6,225,medium,
Лейсан,f,leisan,https://n-e-n.ru/imena/imya/leisan/,арабское,имя с татарскими и арабскими корнями,"Основная версия связывает имя Лейсан с татарским языком, а через него — с арабскими корнями. По другой версии, в основе — созвучное название месяца из древнесирийского календаря.",Лейса; Леся; Ляся; Ляйсан; Лейсян; Лейсана; Лейсанчик; Лейсания,,Л,6,225,medium,
Аким,m,akim,https://n-e-n.ru/imena/imya/akim/,древнееврейское,«Бог воздвиг» — народная форма имени Иоаким,"Существует несколько вариантов происхождения имени Аким. Самым популярным считается вариант, по которому мужское имя Аким является просторечной формой еврейского имени Иоаким, означающего «созданный Яхве (богом)», «богом воздвигнутый», «поставленный богом». Существует также арабская версия происхождения этого имени, по которой Аким – это одна из форм имени Хаким, означающего «мудрец», «ученый», «мыслитель», «образованный», «умный».",Акимка; Кима,Akim; Joachim,А,4,226,medium,короткое
Мия,f,miya,https://n-e-n.ru/imena/imya/miya/,скандинавское,"краткая форма Марии, ставшая самостоятельным именем","У имени несколько версий происхождения. Чаще всего его считают краткой формой имён Амелия, Майя или Мариам. Существует и отдельное японское имя Мия, не связанное с европейским.",Миечка,Mia,М,3,226,medium,короткое
Рамзия,f,ramziya,https://n-e-n.ru/imena/imya/ramziya/,арабское,метатель предзнаменования,"Рамзия — женское имя, распространённое у татар и башкир. Его связывают с арабским словом «рамз» — «знак», «символ». Есть и версия, возводящая имя к Древнему Египту — к богу солнца Ра и имени Рамзес.",Рам; Рамз; Зя; Рамс; Рамя; Рамзяшка; Рамзюля; Рамзюлечка,,Р,6,227,medium,
Тарас,m,taras,https://n-e-n.ru/imena/imya/taras/,древнегреческое,"«беспокойный, бунтарь» — от тарассо (волновать)","Тарас — имя древнегреческого происхождения, в переводе означает волноваться, тревожиться, возбуждать. По другой версии — имя Тарас означает ""бунтовщик"", ""мятежный"", поскольку созвучно с греческим словом ""бунт"".",Тарасик,Taras,Т,5,227,medium,короткое
Зайнаб,f,zainab,https://n-e-n.ru/imena/imya/zainab/,арамейское,«украшение» — от арамейского корня; по другой версии — «юная красавица»,"Есть несколько версий происхождения этого имени, скорее всего, оно сложилось из нескольких разных женских имен, сходных по звучанию. Некоторые специалисты считают, что имя произошло от арамейского корня «зейни» — украшение. Возможно, имя пришло из персидского и обозначает «юная красавица».",Зайна; Зая; Набу; Зайка; Зайни; Зайяб; Зайнабушка; Зайнабочка,,З,6,228,medium,
Абдурахман,m,abdurakhman,https://n-e-n.ru/imena/imya/abdurakhman/,арабское,«раб Милосердного» — Милосердный здесь одно из имён Аллаха,"Имя арабского происхождения (Abd al-Rahmān), которое переводится как «раб Милосердного», где под Милосердным подразумевается Аллах. Оно состоит из корней «абд» — «раб» и «рахман» — «милостивый, милосердный».",Абеке; Абдурахманчик; Рахманичик; Абдуша; Абдик; Абдурахманушка,,А,10,229,medium,
Марта,f,marta,https://n-e-n.ru/imena/imya/marta/,арамейское,"«госпожа, хозяйка» — западная форма Марфы","Имя Марта имеет древнееврейские корни: с арамейского языка оно переводится как «госпожа», «хозяйка дома». По другой версии, это арабское имя со значением «известная», «знаменитая».",Марточка; Мара,Martha; Marta,М,5,229,medium,короткое
Рамис,m,ramis,https://n-e-n.ru/imena/imya/ramis/,арабское,обласканный,"Имя Рамис пришло из арабских стран, где оно имеет значение «обласканный», «отмеченный».",Рами; Рамисушка,,Р,5,230,medium,короткое
Амирхан,m,amirkhan,https://n-e-n.ru/imena/imya/amirkhan/,арабское,"господин, предводитель","Имя Амирхан имеет арабские корни. В переводе с арабского языка Амир означает «господин», «князь» или «принц». Иногда слово «хан» употреблялось в более широком значении, так в древности называли предводителя мусульман.",Амир; Хан; Амирханчик; Амирчик,,А,7,231,medium,
Василина,f,vasilina,https://n-e-n.ru/imena/imya/vasilina/,древнегреческое,«царственная» — форма Василисы,Имя пришло из греческого языка через Византию: оно восходит к слову «басилевс» — так в Древней Греции называли царей и императоров. Василину также считают женской формой мужского имени Василий.,Вася; Лина,Vasilina,В,8,231,medium,
Анисия,f,anisiya,https://n-e-n.ru/imena/imya/anisiya/,древнегреческое,"благотворная, совершенная","По мнению этимологов Анисия имеет древнегреческие корни. В одних источниках это имя переводится как благотворная, по другим — исполнительная, совершенная. По одной из версий имя Анисия произошло от мужского греческого имени Анюсиос, которое в свою очередь произошло от латинского слова ""анюсис"", которое переводится как исполнение, завершение.",Аниса; Аня; Оня; Анисьюшка; Анися,,А,6,232,medium,
Юнус,m,yunus,https://n-e-n.ru/imena/imya/yunus/,арабское,"«голубь» — имя пророка, соответствующего библейскому Ионе","Имя Юнус имеет арабское происхождение и означает «голубь». Это имя пророка, которого в исламе почитают как пример терпения; в библейской традиции ему соответствует пророк Иона.",Юни; Юн; Юнно; Юс; Юну; Юнец; Юнечка; Юнусик,,Ю,4,232,medium,короткое
Усман,m,usman,https://n-e-n.ru/imena/imya/usman/,мусульманское,"костоправ, мужество","Усман — мужское имя арабского происхождения. Его носил Усман ибн Аффан — один из сподвижников пророка Мухаммеда и третий праведный халиф, поэтому имя широко распространено в мусульманском мире.",Ман; Уся; Усмик; Усманчик; Усманушка,,У,5,233,medium,короткое
Джабраил,m,dzhabrail,https://n-e-n.ru/imena/imya/dzhabrail/,исламское,"наделенный властью аллаха, способность бога","Имя Джабраил пришло из арабского языка. Оно состоит из двух частей — «джабр» и «аиль», которые вместе толкуют как «наделённый властью Аллаха». В Коране Джабраил — ангел-вестник, передававший пророку Мухаммаду слова Аллаха.",Джаб; Джабс; Джабо; Джаби; Джабу; Джабрик; Джабрилёк; Джабриленок,,Д,8,234,medium,
Танзиля,f,tanzilya,https://n-e-n.ru/imena/imya/tanzilya/,арабское,"посылка от аллаха, ниспослание, изложить подробно","Имя Танзиля происходит из арабского языка и имеет несколько значений. Одно из них связано с исламским учением – Танзиль означает «ниспослание» или «откровение». Также существует версия, что имя Танзиля происходит от более старинного арабского слова «танзил», которое означает «изложить подробно».",Таня; Зиля; Танзылечка; Танзылька; Танзылушка; Танзюлечка; Танзюлька; Танзюлушка,,Т,7,234,medium,
Аксинья,f,aksinya,https://n-e-n.ru/imena/imya/aksinya/,древнегреческое,народная форма Ксении — «гостеприимная»,"Аксинья — народная форма имени Ксения, пришедшего на Русь из Древней Греции вместе с христианством. Греческое «ксения» означает «гостеприимная», «гостья», «чужестранка».",Ксюша; Аксюта,Aksinya,А,7,235,medium,
Аскар,m,askar,https://n-e-n.ru/imena/imya/askar/,казахское,"недоступный, младший","Существует несколько трактовок происхождения имени Аскар. В XIX — начале XX века словом «аскар» называли солдат, служивших в колониальных армиях Британии, Португалии, Германии, Италии и других стран. Вторая версия уходит корнями в казахский язык, где имя связывают со значениями «недоступный», «младший».",Ас; Кари; Аскарчик; Аскарушка,,А,5,235,medium,короткое
Леон,m,leon,https://n-e-n.ru/imena/imya/leon/,древнегреческое,«лев» — европейский собрат нашего Льва,"Мужское имя Леон – это имя, имеющее две версии происхождения. По первой – оно произошло от латинского слова «leo», которое означает «лев». По второй версии имя Леон имеет греческое происхождение и также переводится как «лев».",Лёня; Лео,Leon; Léon,Л,4,236,medium,короткое
Самат,m,samat,https://n-e-n.ru/imena/imya/samat/,арабское,"вождь, верховный правитель","Имя арабского происхождения; его считают диалектным вариантом имени Самад (Самед, Самет), которое переводят как «вождь», «верховный правитель».",Самми; Сам; Саматушка; Саматонька; Саматик,,С,5,237,medium,короткое
Осман,m,osman,https://n-e-n.ru/imena/imya/osman/,мусульманское,костоправ,Оно имеет домусульманское происхождение и переводится как «костоправ».,Ман; Османчик; Усмик,,О,5,238,medium,короткое
Мира,f,mira,https://n-e-n.ru/imena/imya/mira/,славянское,"ароматная смола, будущие сокровища","Выделяют несколько версий происхождения имени Мира. Согласно самой распространенной теории, имя пришло из греческой культуры и образовано от термина миро, буквально переводится как «ароматная смола», «душистая смола», «благоухающая смола». Согласно второй версии, женское имя Мира имеет славянские корни и образовано от слова мир, лад, согласие.",Мир; Ира; Ирина; Мирочка; Мирушка; Мирчик; Миронька,,М,4,239,medium,короткое
Никифор,m,nikifor,https://n-e-n.ru/imena/imya/nikifor/,древнегреческое,«несущий победу»,"Имя Никифор имеет греческое происхождение и переводится как «несущий победу», «победоносец».",Ника; Никифорка,Nikifor,Н,7,239,medium,
Амин,m,amin,https://n-e-n.ru/imena/imya/amin/,арабское,"«верный, надёжный» — мужская пара к имени Амина","Имя Амин уходит корнями в древние времена. С арабского «Амин» (أمين) переводится как «благонадежный», «честный», «верный». С иврита имя Амин (אמין) также переводится как «верный», «честный», «заслуживающий доверия».",Аминчик,Amin,А,4,240,medium,короткое
Ася,f,asya,https://n-e-n.ru/imena/imya/asya/,древнегреческое,самостоятельная форма Анастасии; закрепилась благодаря повести Тургенева,"История происхождения имени Ася неоднозначна. По одной из версий, его переводят как «божественно красивая» или «страстная». Согласно греческой версии, Ася происходит от имени Анастасия и означает «возрожденная».",Асенька,Asya,А,3,240,medium,короткое
Дана,f,dana,https://n-e-n.ru/imena/imya/dana/,славянское,"«данная, подаренная»","Дана — распространённое во многих странах имя, о происхождении которого существует несколько версий.",Даночка; Дануся,Dana,Д,4,241,medium,короткое
Рафаиль,m,rafail-2,https://n-e-n.ru/imena/imya/rafail-2/,иудейское,бог исцеляет,"Имя Рафаиль восходит к древнееврейскому имени Рафаэль, которое означает «Бог исцеляет». В религиозной традиции так зовут одного из архангелов.",Раф; Райф; Файл; Риф; Фаил; Рафаилюшка; Рафаильчик; Рафаилька,,Р,7,241,medium,
Зайтуна,f,zaituna,https://n-e-n.ru/imena/imya/zaituna/,греческое,"оливковое дерево, оливка","Имя Зайтуна имеет арабское происхождение: «зайтун» — «олива», «оливковое дерево». Оливу на Востоке почитают как символ мира и долголетия, отсюда тёплый смысл имени.",Зая; Зай; Тун; Туна; Заят; Зайтиночка; Зайтиноченька; Зайтунечка,,З,7,242,medium,
Фаниль,m,fanil,https://n-e-n.ru/imena/imya/fanil/,татарское,"лунный свет, лунный луч","Фаниль — татарское мужское имя с давней историей. Его толкуют как «лунный свет», «лунный луч».",Фан; Фаня; Фань; Фани; Фа; Фанечка; Фанеченька; Фанечушка,,Ф,6,242,medium,
Капитолина,f,kapitolina,https://n-e-n.ru/imena/imya/kapitolina/,латинское,по названию Капитолийского холма в Риме,"По мнению этимологов, Капитолина — древнеримское имя, произошедшее от имени Capitolinus, — «рождённая в Капитолии», «относящаяся к Капитолийскому холму». Название холма происходит от латинского слова caput — «голова».",Капа; Лина; Тоня,Kapitolina,К,10,243,medium,
Хамзат,m,khamzat,https://n-e-n.ru/imena/imya/khamzat/,арабское,лев,"Имя Хамзат имеет арабское происхождение и имеет значение ""лев"". Оно происходит от имени Хамза, который был дядей пророка Мухаммеда. Хамзат – это мусульманская форма мужского имени Хамза, происходящая от арабского корня ""хамз"" (вместительный, могучий).",Хам; Хази; Хамз; Ханз; Хамм; Хамзатик; Хамзаточка; Хамзатушка,,Х,6,243,medium,
Николь,f,nikol,https://n-e-n.ru/imena/imya/nikol/,древнегреческое,французская женская форма Николая — «победительница народов»,"Николь — французская женская форма имени Николай, означает «победительница народов». Во многих странах у имени свои варианты произношения.",Ника; Николь,Nicole,Н,6,244,medium,
Савва,m,savva,https://n-e-n.ru/imena/imya/savva/,арамейское,"«старец, мудрец»; в русской традиции — имя купцов-меценатов","Лингвисты выделяют несколько версий происхождения мужского имени Савва. Есть и четвертая версия, гласящая, что это имя имеет арабские корни. Арамейское слово «саба», от которого произошло древнегреческое имя Саббас, значит «мудрец», «старец».",Савушка,Savva; Sabbas,С,5,244,medium,короткое
Дания,f,daniya,https://n-e-n.ru/imena/imya/daniya/,арабское,"родная, бог, известная","У редкого женского имени Дания несколько версий происхождения. По одной, оно образовано от казахского имени Данна и означает «знающая», «мудрая». По другой, это уменьшительная форма европейского имени Даниэлла — «Бог — мой судья».",Дана; Данюша,,Д,5,245,medium,короткое
Лука,m,luka,https://n-e-n.ru/imena/imya/luka/,латинское,«свет» — от lux; имя евангелиста,"Имя Лука связывают с латинским словом lux — «свет». Его значение трактуют как «светлый», «озарённый» или «рождённый на рассвете».",Лукаша,Luke; Luca; Lucas,Л,4,245,medium,короткое
Виталина,f,vitalina,https://n-e-n.ru/imena/imya/vitalina/,латинское,«жизненная» — женская форма от vitalis,"Виталина — это женское имя, образованное от мужского имени Виталий, что в свою очередь происходит от латинского Vitalis — ""жизненный"", ""необходимый для жизни"", ""полон жизни"". Обратите внимание, что слово Виталина имеет тот же корень, что и витамин — вещество, необходимое для жизни.",Вита; Лина,Vitalina,В,8,246,medium,
Ленар,m,lenar,https://n-e-n.ru/imena/imya/lenar/,древнееврейское,от «Ленинская армия»; по другой версии — «умный»,"У имени Ленар несколько версий происхождения. По самой распространённой, советской, оно образовано от сокращения словосочетания «Ленинская армия». Вторая версия возводит имя к древнееврейскому слову со значением «умный».",Лени; Лен; Ленарчик; Ленарушка,,Л,5,246,medium,короткое
Рамиля,f,ramilya,https://n-e-n.ru/imena/imya/ramilya/,тюркское,"радость, счастье, молния","Имя Рамиля имеет тюркское происхождение. Его переводят как «радость», «счастье», встречается и толкование «молния».",Рама; Рами; Рамо; Рамэ; Раму; Рамик; Рамуля; Рамилюша,,Р,6,247,medium,
Хадиджа,f,khadidzha,https://n-e-n.ru/imena/imya/khadidzha/,арабское,рожденная до предписанного срока,"Как и большинство арабских имен, это имя имеет древнее происхождение и обозначает «рожденная до предписанного срока». Корни, образовавшие слово, широко использовались языками западносемитской ветви уже около 2000 лет назад.",Хади; Хадижаным,,Х,7,248,medium,
Зиля,f,zilya,https://n-e-n.ru/imena/imya/zilya/,арабское,"светлая, чистая","Имя арабского происхождения, его значение связывают со словами «чистая», «светлая». Встречается в вариантах Зилия, Зила, Зиляна.",Зи; Ляля; Зилли; Имя; не; христианское; именины; празднуются,,З,4,249,medium,короткое
Билал,m,bilal,https://n-e-n.ru/imena/imya/bilal/,арабское,"влага, свежесть","Имя Билал имеет арабское происхождение; его связывают со значениями «влага», «свежесть». Это имя носил Билал ибн Рабах — первый муэдзин в истории ислама.",Бил; Билл; Биля; Биле; Билю; Билалечка; Билалюша; Билалюня,,Б,5,251,medium,короткое
Разия,f,raziya,https://n-e-n.ru/imena/imya/raziya/,арабское,"счастливая, радостная","Одним из значений имени Разия является ""счастливая"" или ""радостная"".",Раз; Зая; Разя; Разик; Рая; Разечка; Разюличка; Разулька,,Р,5,251,medium,короткое
Омар,m,omar,https://n-e-n.ru/imena/imya/omar/,арабское,жизнь,"Имя Омар (عُمْر) имеет древнеарабское происхождение, его история насчитывает больше тысячи лет. В переводе оно означает «жизнь», «долгожитель», «живучий». Иногда предлагают и другой вариант перевода – «процветающий».",Ом; Мари; Омарчик; Омарик,,О,4,252,medium,короткое
Абдула,m,abdula,https://n-e-n.ru/imena/imya/abdula/,арабское,раб Аллаха,"Абдула — уменьшительно-ласкательная форма арабского имени Абдулла, которое означает «раб Аллаха», «слуга Аллаха». История имени уходит корнями в древность и тесно связана с арабской культурой и исламом: в исламской традиции оно выражает покорность и смирение перед Богом.",Абд; Аду; Абу; Ала; Дула; Абдулечка; Абдуленька; Абдуличка,,А,6,253,medium,
Рената,f,renata,https://n-e-n.ru/imena/imya/renata/,латинское,«возрождённая» — парное к мужскому Ренат,"Рената — довольно редкое имя, у которого несколько версий происхождения. По основной, оно восходит к латинскому renata — «возрождённая». Есть и версия об арабских корнях имени.",Рена; Ната,Renata; Renée,Р,6,253,medium,
Рауза,f,rauza,https://n-e-n.ru/imena/imya/rauza/,арабское,"сад, цветник","Женское имя арабского происхождения. Его связывают с арабским словом «рауда» — «сад», «цветник».",Раз; Ру; За; Раузиночка; Раузик; Раузуля; Раузенок; Раузонька,,Р,5,254,medium,короткое
Рифат,m,rifat,https://n-e-n.ru/imena/imya/rifat/,арабское,"высоко стоящий, наделенный властью","Имя Рифат имеет арабские корни: его связывают со словом «рифат» — «возвышенность». Переводится как «высоко стоящий», «наделённый властью».",Риф; Фати; Рифатик; Риффик; Рифатушка,,Р,5,254,medium,короткое
Аля,f,alya,https://n-e-n.ru/imena/imya/alya/,мусульманское,"благодатная, яркая","Имя Аля имеет мусульманские корни и переводится как ""благодатная"". В России его применяют как сокращенную форму от имен Алена и Алина, которые переводятся как «яркая» и «красивая».",Алия,,А,3,255,medium,короткое
Ильмир,m,ilmir,https://n-e-n.ru/imena/imya/ilmir/,арабское,«князь страны»,"Имя Ильмир имеет арабское происхождение. Оно встречается в тюркском языке и уходит корнями во времена Древнеперсидского государства. Корень «иль» обозначает «страна», «государство», а «мир» – персидская форма слова «эмир», что переводится как «князь», «глава».",Мир; Илли; Ильмирчик; Ильмирушка,,И,6,255,medium,
Салима,f,salima,https://n-e-n.ru/imena/imya/salima/,арабское,"невредимая, здоровая","Салима — женское имя арабского происхождения, парное к мужскому Салим. Его значение — «невредимая», «здоровая», «благополучная».",,,С,6,256,medium,
Арман,m,arman,https://n-e-n.ru/imena/imya/arman/,персидское,"«мечта, заветное желание»","У мужского имени Арман нет единой версии происхождения. Согласно одной из версий имя Арман – это имя древнегерманского происхождения, которое в переводе означает «сильный мужчина» или «воин». По второй версии происхождения имя Арман родом из Персии и в переводе с древнеперсидского означает «заветное желание», «мечта» или «стремление».",Арманчик,Arman; Armand,А,5,257,medium,короткое
Хадижа,f,khadizha,https://n-e-n.ru/imena/imya/khadizha/,арабское,родившийся до срока верблюжонок,"Точное время появления этого имени у арабов определить сложно. В современный арабский оно пришло из западносемитских языков, где обозначало верблюжонка, родившегося раньше срока, слабого и нуждающегося в заботе.",Хади; Хадди; Хати; Хате; Хадижочка; Хатижка,,Х,6,257,medium,
Арсентий,m,arsentii,https://n-e-n.ru/imena/imya/arsentii/,греческое,"мужественный, мужчина","Имя Арсентий имеет древнегреческое происхождение. В его основе слово «арсен» — «мужественный», «мужчина».",Арс; Арсе; Арси; Арсент; Арсенти; Сенька; Тишка; Серенький,,А,8,258,medium,
Альмира,f,almira,https://n-e-n.ru/imena/imya/almira/,испанское,"«сторожевая башня» — по одной из версий, от названия города Альмерия","У имени Альмира несколько версий происхождения. Его связывают с названием испанского города Альмерия, завоёванного арабами в IX веке; по другим версиям, оно восходит к древнегерманскому имени Эльмер или к испанскому Эдельмира.",Аль; Альма; Мира; Альми; Амира; Аля; Альмиша; Альмирочка,,А,7,259,medium,
Игнатий,m,ignatii,https://n-e-n.ru/imena/imya/ignatii/,греческое,"огонь, посвященный огню","История имени Игнатий уходит во времена Римской империи. У него латинские истоки: оно происходит от слова ignis — «огонь», поэтому имя толкуют как «огненный».",Игна; Гнат; Игнат; Натик; Нат; Игнатишка; Игнатюшка; Игнатик,,И,7,259,medium,
